,City,Country,Continent,Nodes,Edges,Essential edges,Self-loops,3-paths,Triangles,4-paths,4-complete,4-star,Squares,Diamonds,Tadpoles
199,Brno,Czech_Republic,Europe,43091,116645,60039,238,127400.0,2215.0,265365.0,0.0,59129.0,5205.0,143.0,8954.0
200,Ostrava,Czech_Republic,Europe,25674,68948,35712,194,75358.0,1434.0,156201.0,0.0,34592.0,3191.0,105.0,5800.0
201,Plovdiv,Bulgaria,Europe,,,,,,,,,,,,
202,Graz,Austria,Europe,,,,,,,,,,,,
203,Antwerp,Belgium,Europe,24999,64348,37252,190,83048.0,1574.0,183445.0,0.0,40047.0,4781.0,136.0,6763.0
204,Charleroi,Belgium,Europe,10365,25468,14308,119,28884.0,646.0,56858.0,0.0,11858.0,1124.0,37.0,2373.0
205,Philadelphia,USA,North_America,86403,227718,127454,1359,285036.0,4389.0,635655.0,2.0,140147.0,16727.0,508.0,17970.0
206,Austin,USA,North_America,84663,224292,117482,1474,242729.0,5359.0,493912.0,2.0,106253.0,12136.0,499.0,19913.0
207,Las_Vegas,USA,North_America,48369,123383,65601,643,132422.0,3066.0,261573.0,1.0,56487.0,6014.0,273.0,11375.0
208,Atlanta,USA,North_America,55424,146087,74498,1518,153054.0,3102.0,312207.0,2.0,69461.0,7637.0,352.0,11928.0
209,Miami,USA,North_America,21592,55271,30432,252,65276.0,1083.0,140053.0,0.0,30839.0,3079.0,65.0,4130.0
210,Reno,USA,North_America,26980,71482,37692,341,80901.0,1611.0,171547.0,0.0,38732.0,4332.0,142.0,6593.0
211,Salt_Lake_City,USA,North_America,35128,104785,53747,425,125619.0,1754.0,293183.0,2.0,65364.0,9380.0,164.0,7306.0
212,Montreal,Canada,North_America,51289,138411,78105,742,178152.0,3435.0,404019.0,2.0,88906.0,11012.0,340.0,14553.0
213,Calgary,Canada,North_America,111870,314923,170025,1194,389312.0,8014.0,880576.0,18.0,194909.0,25141.0,784.0,34443.0
214,Winnipeg,Canada,North_America,53779,156050,83104,1135,195331.0,3164.0,459290.0,1.0,101640.0,15268.0,266.0,13040.0
215,Halifax,Canada,North_America,10840,28220,14675,166,29783.0,717.0,59271.0,1.0,12966.0,1192.0,61.0,2727.0
216,Regina,Canada,North_America,24324,68830,35265,401,76390.0,1378.0,163783.0,0.0,35438.0,4169.0,111.0,5267.0
217,Ecatepec_de_Morelos,Mexico,North_America,,,,,,,,,,,,
218,Monterrey,Mexico,North_America,37127,94977,55101,275,121315.0,1772.0,267008.0,1.0,56796.0,8059.0,119.0,6921.0
219,Darwin,Australia,Australia,,,,,,,,,,,,
220,Xiamen,China,Asia,,,,,,,,,,,,
221,Nanjing,China,Asia,30897,77687,44786,185,98800.0,1520.0,217126.0,1.0,48028.0,5565.0,133.0,6323.0
222,Xining,China,Asia,,,,,,,,,,,,
223,Fortaleza,Brazil,South_America,46278,121814,70082,185,159594.0,1623.0,365075.0,1.0,78636.0,10947.0,106.0,6796.0
224,Belem,Brazil,South_America,,,,,,,,,,,,
225,Sao_Luis,Brazil,South_America,27402,72016,39556,146,84457.0,1312.0,179180.0,0.0,37629.0,4812.0,98.0,5056.0
226,Maceio,Brazil,South_America,21929,55537,30147,121,61815.0,908.0,125551.0,0.0,26505.0,3020.0,51.0,3263.0
227,Campinas,Brazil,South_America,35899,91905,52674,276,114304.0,2434.0,244106.0,1.0,52059.0,6452.0,132.0,9296.0
228,Aracaju,Brazil,South_America,14871,37327,21676,71,46285.0,692.0,98507.0,1.0,20325.0,2824.0,42.0,2492.0
229,Feira_de_Santana,Brazil,South_America,23411,60913,32133,137,65073.0,831.0,130392.0,0.0,26915.0,3061.0,47.0,2898.0
230,Cuiaba,Brazil,South_America,21555,58749,31887,87,69977.0,1107.0,152374.0,2.0,32435.0,4608.0,93.0,4380.0
231,Porto_Alegre,Brazil,South_America,35618,87155,49855,107,107196.0,1690.0,229252.0,2.0,51382.0,5424.0,215.0,7724.0
232,Rosario,Argentina,South_America,19647,47676,32308,60,80400.0,830.0,201346.0,1.0,44555.0,7282.0,71.0,3798.0
233,Salta,Argentina,South_America,,,,,,,,,,,,
234,Santa_Fe_de_la_Vera_Cruz,Argentina,South_America,8387,21987,14002,14,35435.0,280.0,90109.0,1.0,19909.0,3359.0,30.0,1300.0
235,Resistencia,Argentina,South_America,15007,42775,24148,32,58503.0,274.0,143641.0,0.0,31021.0,5073.0,18.0,1161.0
236,Posadas,Argentina,South_America,9899,28023,15888,30,38264.0,335.0,92603.0,0.0,20234.0,3125.0,42.0,1612.0
237,Corrientes,Argentina,South_America,,,,,,,,,,,,
238,El_Alto,Bolivia,South_America,46362,139891,72932,40,168793.0,958.0,389233.0,0.0,82725.0,10810.0,49.0,4316.0
239,Medellin,Colombia,South_America,,,,,,,,,,,,
240,Cali,Colombia,South_America,,,,,,,,,,,,
241,Cartagena_de_Indias,Colombia,South_America,19667,53050,27984,75,59822.0,640.0,127415.0,0.0,27262.0,3331.0,32.0,2520.0
242,Pereira,Colombia,South_America,,,,,,,,,,,,
243,Maracaibo,Venezuela,South_America,,,,,,,,,,,,
244,Chiclayo,Peru,South_America,4146,11394,6418,8,14593.0,125.0,33214.0,0.0,7002.0,948.0,2.0,512.0
245,Puente_Alto,Chile,South_America,,,,,,,,,,,,
246,Vina_del_Mar,Chile,South_America,11967,29976,16321,48,33824.0,568.0,69253.0,1.0,15208.0,1457.0,45.0,2265.0
247,Talca,Chile,South_America,10123,27065,14686,72,31932.0,422.0,69138.0,0.0,14886.0,1912.0,44.0,1717.0
248,Novosibirsk,Russia,Asia,55698,155869,78790,308,169682.0,3074.0,360200.0,0.0,80269.0,8212.0,232.0,13217.0
249,Yekaterinburg,Russia,Asia,67587,191275,97166,485,216044.0,3778.0,474881.0,0.0,108115.0,11125.0,376.0,16867.0
250,Yakutsk,Russia,Asia,7489,18402,9109,84,16769.0,245.0,29786.0,0.0,6604.0,443.0,13.0,828.0
